u,g,r,i,z,redshift
19.09193,17.86146,17.34277,16.99911,16.792460000000002,0.06592024724110672
19.99864,17.97824,16.97658,16.525479999999998,16.18047,0.1106143656904762
21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998,0.23397763
19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002,0.06836168636934045
19.58866,17.984289999999994,17.23228,16.8559,16.5243,0.08177834666698873
21.48726,19.09873,17.66684,17.10106,16.7712,0.22852453
17.73339,16.71486,16.41702,16.21477,16.1083,0.04162257
17.91927,16.68965,16.26973,15.97756,15.90915,0.046164875
20.7851,18.67885,17.204929999999994,16.64238,16.31031,0.20904601666666664
16.98516,15.77897,15.292370000000002,15.02964,14.79433,0.034009103750000005
20.9155,18.74272,17.33586,16.80656,16.42595,0.1886175433333333
20.22135,18.49881,17.74995,17.347720000000002,17.09464,0.082595470875
18.798,17.00021,16.116039999999998,15.66969,15.38644,0.06746626172905983
20.7059,18.93596,17.85924,17.37409,17.01736,0.1465852192857143
19.82934,18.52765,17.70818,17.2778,16.9539,0.12984616521245423
16.774160000000002,15.39927,14.845020000000002,14.564279999999998,14.4361,0.0272945225
18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002,0.07782565333333333
20.53677,18.55817,17.4951,16.98721,16.60135,0.14054419839743587
19.05704,17.830779999999994,17.23246,16.83013,16.62528,0.0926296974306492
20.73502,18.58605,17.17311,16.620179999999998,16.252010000000002,0.18151600333333331
20.41964,18.49088,17.69175,17.334220000000002,17.078039999999998,0.09315168314102563
19.28163,17.3575,16.482120000000002,16.08959,15.77293,0.0859323499484127
19.00261,17.49018,16.68834,16.29175,15.97556,0.08165838833874459
20.0543,18.66887,17.824820000000006,17.3808,17.04285,0.139291861875
20.86577,18.97923,17.69528,17.218320000000002,16.877489999999998,0.18855995
20.69656,18.68085,17.18477,16.65752,16.301289999999998,0.20924111666666664
20.25999,18.55005,17.50229,17.0524,16.72671,0.13888536506410257
18.28609,17.25774,17.10856,16.82754,16.80196,0.04365393
19.69743,18.48256,17.75529,17.381079999999994,17.11401,0.130616279
19.72105,18.25182,17.48956,17.12856,16.84856,0.08244518458333333
20.58137,18.84329,17.59147,17.059820000000002,16.68552,0.18682738083333333
17.3871,15.88599,15.20823,14.81886,14.552879999999998,0.04152357875
20.63813,18.79938,17.684089999999994,17.206870000000002,16.83607,0.1566047234848485
19.20529,18.08887,17.633570000000006,17.349529999999998,17.21025,0.08819802699999998
19.86525,18.26228,17.36386,16.9665,16.59816,0.1026948186111111
20.36534,18.52814,17.55111,17.1481,16.7843,0.11459652722298534
20.31131,18.15814,17.11329,16.62061,16.24995,0.12637945775297618
18.15538,16.939329999999998,16.32726,16.0103,15.7642,0.058538959999999994
19.17383,18.09209,17.64301,17.310489999999998,17.18074,0.10031383185714286
19.924570000000006,18.27165,17.49309,17.10824,16.82705,0.07623372944444444
18.24259,17.36986,17.02092,16.688670000000002,16.65718,0.041999810000000005
19.95727,18.481720000000006,17.57218,17.11346,16.86693,0.12497802128205127
19.92024,18.38158,17.51184,17.10555,16.85693,0.10652350507575759
18.30308,17.10613,16.466839999999998,16.08553,15.865429999999998,0.06669010273333333
20.37375,18.46297,17.37472,16.953670000000002,16.58168,0.14618478373015875
19.66902,17.59093,16.57689,16.144660000000002,15.79646,0.10805792826839826
